index,poem
692,"jo ġhair the vo isī baat par hamāre hue 
ki ham se dost bahut be-ḳhabar hamāre hue 
kise ḳhabar vo mohabbat thī yā raqābat thī 
bahut se log tujhe dekh kar hamāre hue 
ab ik hujūm-e-shikasta-dilāñ hai saath apne 
jinheñ koī na milā ham-safar hamāre hue 
kisī ne ġham to kisī ne mizāj-e-ġham baḳhshā 
sab apnī apnī jagah chāragar hamāre hue 
bujhā ke taaq kī sham.eñ na dekh tāroñ ko 
isī junūñ meñ to barbād ghar hamāre hue 
vo e'timād kahāñ se 'farāz' lā.eñge 
kisī ko chhoḌ ke vo ab agar hamāre hue"
693,"juz tire koī bhī din raat na jaane mere 
tū kahāñ hai magar ai dost purāne mere 
tū bhī ḳhushbū hai magar merā tajassus bekār 
barg-e-āvāra kī mānind Thikāne mere 
sham.a kī lau thī ki vo tū thā magar hijr kī raat 
der tak rotā rahā koī sirhāne mere 
ḳhalq kī be-ḳhabarī hai ki mirī rusvā.ī 
log mujh ko hī sunāte haiñ fasāne mere 
luT ke bhī ḳhush huuñ ki ashkoñ se bharā hai dāman 
dekh ġhārat-gar-e-dil ye bhī ḳhazāne mere 
aaj ik aur baras biit gayā us ke baġhair 
jis ke hote hue hote the zamāne mere 
kaash tū bhī merī āvāz kahīñ suntā ho 
phir pukārā hai tujhe dil kī sadā ne mere 
kaash tū bhī kabhī aa jaa.e masīhā.ī ko 
log aate haiñ bahut dil ko dukhāne mere 
kaash auroñ kī tarah maiñ bhī kabhī kah saktā 
baat sun lī hai mirī aaj ḳhudā ne mere 
tū hai kis haal meñ ai zūd-farāmosh mire 
mujh ko to chhīn liyā ahd-e-vafā ne mere 
chārāgar yuuñ to bahut haiñ magar ai jān-e-'farāz' 
juz tire aur koī zaḳhm na jaane mere"
694,"karūñ na yaad magar kis tarah bhulā.ūñ use 
ġhazal bahāna karūñ aur gungunā.ūñ use 
vo ḳhaar ḳhaar hai shāḳh-e-gulāb kī mānind 
maiñ zaḳhm zaḳhm huuñ phir bhī gale lagā.ūñ use 
ye log tazkire karte haiñ apne logoñ ke 
maiñ kaise baat karūñ ab kahāñ se lā.ūñ use 
magar vo zūd-farāmosh zūd-ranj bhī hai 
ki ruuTh jaa.e agar yaad kuchh dilā.ūñ use 
vahī jo daulat-e-dil hai vahī jo rāhat-e-jāñ 
tumhārī baat pe ai nāseho gañvā.ūñ use 
jo ham-safar sar-e-manzil bichhaḌ rahā hai 'farāz' 
ajab nahīñ hai agar yaad bhī na aa.uuñ use"
695,"kaThin hai rāhguzar thoḌī duur saath chalo 
bahut kaḌā hai safar thoḌī duur saath chalo 
tamām umr kahāñ koī saath detā hai 
ye jāntā huuñ magar thoḌī duur saath chalo 
nashe meñ chuur huuñ maiñ bhī tumheñ bhī hosh nahīñ 
baḌā maza ho agar thoḌī duur saath chalo 
ye ek shab kī mulāqāt bhī ġhanīmat hai 
kise hai kal kī ḳhabar thoḌī duur saath chalo 
abhī to jaag rahe haiñ charāġh rāhoñ ke 
abhī hai duur sahar thoḌī duur saath chalo 
tavāf-e-manzil-e-jānāñ hameñ bhī karnā hai 
'farāz' tum bhī agar thoḌī duur saath chalo"
696,"ḳhāmosh ho kyuuñ dād-e-jafā kyuuñ nahīñ dete 
bismil ho to qātil ko duā kyuuñ nahīñ dete 
vahshat kā sabab rauzan-e-zindāñ to nahīñ hai 
mehr o mah o anjum ko bujhā kyuuñ nahīñ dete 
ik ye bhī to andāz-e-ilāj-e-ġham-e-jāñ hai 
ai chāragaro dard baḌhā kyuuñ nahīñ dete 
munsif ho agar tum to kab insāf karoge 
mujrim haiñ agar ham to sazā kyuuñ nahīñ dete 
rahzan ho to hāzir hai matā-e-dil-o-jāñ bhī 
rahbar ho to manzil kā pata kyuuñ nahīñ dete 
kyā biit ga.ī ab ke 'farāz' ahl-e-chaman par 
yārān-e-qafas mujh ko sadā kyuuñ nahīñ dete"
697,"kyā aise kam-suḳhan se koī guftugū kare 
jo mustaqil sukūt se dil ko lahū kare 
ab to hameñ bhī tark-e-marāsim kā dukh nahīñ 
par dil ye chāhtā hai ki āġhāz tū kare 
tere baġhair bhī to ġhanīmat hai zindagī 
ḳhud ko gañvā ke kaun tirī justujū kare 
ab to ye aarzū hai ki vo zaḳhm khā.iye 
tā-zindagī ye dil na koī aarzū kare 
tujh ko bhulā ke dil hai vo sharminda-e-nazar 
ab koī hādsa hī tire rū-ba-rū kare 
chup-chāp apnī aag meñ jalte raho 'farāz' 
duniyā to arz-e-hāl se be-ābrū kare"
698,"maiñ to maqtal meñ bhī qismat kā sikandar niklā 
qur.a-e-fāl mire naam kā aksar niklā 
thā jinheñ zo.am vo dariyā bhī mujhī meñ Duube 
maiñ ki sahrā nazar aatā thā samundar niklā 
maiñ ne us jān-e-bahārāñ ko bahut yaad kiyā 
jab koī phuul mirī shāḳh-e-hunar par niklā 
shahr-vāloñ kī mohabbat kā maiñ qaa.el huuñ magar 
maiñ ne jis haath ko chūmā vahī ḳhanjar niklā 
tū yahīñ haar gayā hai mire buzdil dushman 
mujh se tanhā ke muqābil tirā lashkar niklā 
maiñ ki sahrā-e-mohabbat kā musāfir thā 'farāz' 
ek jhoñkā thā ki ḳhushbū ke safar par niklā"
699,"phir usī rahguzār par shāyad 
ham kabhī mil sakeñ magar shāyad 
jin ke ham muntazir rahe un ko 
mil ga.e aur ham-safar shāyad 
jān-pahchān se bhī kyā hogā 
phir bhī ai dost ġhaur kar shāyad 
ajnabiyyat kī dhund chhaT jaa.e 
chamak uTThe tirī nazar shāyad 
zindagī bhar lahū rulā.egī 
yād-e-yārān-e-be-ḳhabar shāyad 
jo bhī bichhḌe vo kab mile haiñ 'farāz' 
phir bhī tū intizār kar shāyad"
700,"qurbat bhī nahīñ dil se utar bhī nahīñ jaatā 
vo shaḳhs koī faisla kar bhī nahīñ jaatā 
āñkheñ haiñ ki ḳhālī nahīñ rahtī haiñ lahū se 
aur zaḳhm-e-judā.ī hai ki bhar bhī nahīñ jaatā 
vo rāhat-e-jāñ hai magar is dar-badrī meñ 
aisā hai ki ab dhyān udhar bhī nahīñ jaatā 
ham dohrī aziyyat ke giraftār musāfir 
paañv bhī haiñ shal shauq-e-safar bhī nahīñ jaatā 
dil ko tirī chāhat pe bharosa bhī bahut hai 
aur tujh se bichhaḌ jaane kā Dar bhī nahīñ jaatā 
pāgal hue jaate ho 'farāz' us se mile kyā 
itnī sī ḳhushī se koī mar bhī nahīñ jaatā"
701,"qurbatoñ meñ bhī judā.ī ke zamāne māñge 
dil vo be-mehr ki rone ke bahāne māñge 
ham na hote to kisī aur ke charche hote 
ḳhilqat-e-shahr to kahne ko fasāne māñge 
yahī dil thā ki tarastā thā marāsim ke liye 
ab yahī tark-e-ta.alluq ke bahāne māñge 
apnā ye haal ki jī haar chuke luT bhī chuke 
aur mohabbat vahī andāz purāne māñge 
zindagī ham tire dāġhoñ se rahe sharminda 
aur tū hai ki sadā ā.īna-ḳhāne māñge 
dil kisī haal pe qaane hī nahīñ jān-e-'farāz' 
mil ga.e tum bhī to kyā aur na jaane māñge"
702,"ranjish hī sahī dil hī dukhāne ke liye aa 
aa phir se mujhe chhoḌ ke jaane ke liye aa 
kuchh to mire pindār-e-mohabbat kā bharam rakh 
tū bhī to kabhī mujh ko manāne ke liye aa 
pahle se marāsim na sahī phir bhī kabhī to 
rasm-o-rah-e-duniyā hī nibhāne ke liye aa 
kis kis ko batā.eñge judā.ī kā sabab ham 
tū mujh se ḳhafā hai to zamāne ke liye aa 
ik umr se huuñ lazzat-e-girya se bhī mahrūm 
ai rāhat-e-jāñ mujh ko rulāne ke liye aa 
ab tak dil-e-ḳhush-fahm ko tujh se haiñ ummīdeñ 
ye āḳhirī sham.eñ bhī bujhāne ke liye aa"
703,"rog aise bhī ġham-e-yār se lag jaate haiñ 
dar se uThte haiñ to dīvār se lag jaate haiñ 
ishq āġhāz meñ halkī sī ḳhalish rakhtā hai 
baad meñ saikḌoñ āzār se lag jaate haiñ 
pahle pahle havas ik-ādh dukāñ kholtī hai 
phir to bāzār ke bāzār se lag jaate haiñ 
bebasī bhī kabhī qurbat kā sabab bantī hai 
ro na paa.eñ to gale yaar se lag jaate haiñ 
katraneñ ġham kī jo galiyoñ meñ uḌī phirtī haiñ 
ghar meñ le aao to ambār se lag jaate haiñ 
daaġh dāman ke hoñ dil ke hoñ ki chehre ke 'farāz' 
kuchh nishāñ umr kī raftār se lag jaate haiñ"
704,"sāmne us ke kabhī us kī satā.ish nahīñ kī 
dil ne chāhā bhī agar hoñToñ ne jumbish nahīñ kī 
ahl-e-mahfil pe kab ahvāl khulā hai apnā 
maiñ bhī ḳhāmosh rahā us ne bhī pursish nahīñ kī 
jis qadar us se ta.alluq thā chalā jaatā hai 
us kā kyā rañj ho jis kī kabhī ḳhvāhish nahīñ kī 
ye bhī kyā kam hai ki donoñ kā bharam qaa.em hai 
us ne baḳhshish nahīñ kī ham ne guzārish nahīñ kī 
ik to ham ko adab ādāb ne pyāsā rakkhā 
us pe mahfil meñ surāhī ne bhī gardish nahīñ kī 
ham ki dukh oḌh ke ḳhalvat meñ paḌe rahte haiñ 
ham ne bāzār meñ zaḳhmoñ kī numā.ish nahīñ kī 
ai mire abr-e-karam dekh ye vīrāna-e-jāñ 
kyā kisī dasht pe tū ne kabhī bārish nahīñ kī 
kaT mare apne qabīle kī hifāzat ke liye 
maqtal-e-shahr meñ Thahre rahe jumbish nahīñ kī 
vo hameñ bhuul gayā ho to ajab kyā hai 'farāz' 
ham ne bhī mel-mulāqāt kī koshish nahīñ kī"
705,"sāqiyā ek nazar jaam se pahle pahle 
ham ko jaanā hai kahīñ shaam se pahle pahle 
nau-giraftār-e-vafā sa.i-e-rihā.ī hai abas 
ham bhī uljhe the bahut daam se pahle pahle 
ḳhush ho ai dil ki mohabbat to nibhā dī tū ne 
log ujaḌ jaate haiñ anjām se pahle pahle 
ab tire zikr pe ham baat badal dete haiñ 
kitnī raġhbat thī tire naam se pahle pahle 
sāmne umr paḌī hai shab-e-tanhā.ī kī 
vo mujhe chhoḌ gayā shaam se pahle pahle 
kitnā achchhā thā ki ham bhī jiyā karte the 'farāz' 
ġhair-mārūf se gumnām se pahle pahle"
706,"sho.ala thā jal-bujhā huuñ havā.eñ mujhe na do 
maiñ kab kā jā chukā huuñ sadā.eñ mujhe na do 
jo zahr pī chukā huuñ tumhīñ ne mujhe diyā 
ab tum to zindagī kī duā.eñ mujhe na do 
ye bhī baḌā karam hai salāmat hai jism abhī 
ai ḳhusravān-e-shahr qabā.eñ mujhe na do 
aisā na ho kabhī ki palaT kar na aa sakūñ 
har baar duur jā ke sadā.eñ mujhe na do 
kab mujh ko e'tirāf-e-mohabbat na thā 'farāz' 
kab maiñ ne ye kahā hai sazā.eñ mujhe na do"
707,"silsile toḌ gayā vo sabhī jaate jaate 
varna itne to marāsim the ki aate jaate 
shikva-e-zulmat-e-shab se to kahīñ behtar thā 
apne hisse kī koī sham.a jalāte jaate 
kitnā āsāñ thā tire hijr meñ marnā jānāñ 
phir bhī ik umr lagī jaan se jaate jaate 
jashn-e-maqtal hī na barpā huā varna ham bhī 
pā-ba-jaulāñ hī sahī nāchte gaate jaate 
is kī vo jaane use pās-e-vafā thā ki na thā 
tum 'farāz' apnī taraf se to nibhāte jaate"
708,"sunā hai log use aañkh bhar ke dekhte haiñ 
so us ke shahr meñ kuchh din Thahar ke dekhte haiñ 
sunā hai rabt hai us ko ḳharāb-hāloñ se 
so apne aap ko barbād kar ke dekhte haiñ 
sunā hai dard kī gāhak hai chashm-e-nāz us kī 
so ham bhī us kī galī se guzar ke dekhte haiñ 
sunā hai us ko bhī hai sher o shā.irī se shaġhaf 
so ham bhī mo.ajize apne hunar ke dekhte haiñ 
sunā hai bole to bātoñ se phuul jhaḌte haiñ 
ye baat hai to chalo baat kar ke dekhte haiñ 
sunā hai raat use chāñd taktā rahtā hai 
sitāre bām-e-falak se utar ke dekhte haiñ 
sunā hai din ko use titliyāñ satātī haiñ 
sunā hai raat ko jugnū Thahar ke dekhte haiñ 
sunā hai hashr haiñ us kī ġhazāl sī āñkheñ 
sunā hai us ko hiran dasht bhar ke dekhte haiñ 
sunā hai raat se baḌh kar haiñ kākuleñ us kī 
sunā hai shaam ko saa.e guzar ke dekhte haiñ 
sunā hai us kī siyah-chashmagī qayāmat hai 
so us ko surma-farosh aah bhar ke dekhte haiñ 
sunā hai us ke laboñ se gulāb jalte haiñ 
so ham bahār pe ilzām dhar ke dekhte haiñ 
sunā hai aa.ina timsāl hai jabīñ us kī 
jo saada dil haiñ use ban-sañvar ke dekhte haiñ 
sunā hai jab se hamā.il haiñ us kī gardan meñ 
mizāj aur hī laal o guhar ke dekhte haiñ 
sunā hai chashm-e-tasavvur se dasht-e-imkāñ meñ 
palañg zāviye us kī kamar ke dekhte haiñ 
sunā hai us ke badan kī tarāsh aisī hai 
ki phuul apnī qabā.eñ katar ke dekhte haiñ 
vo sarv-qad hai magar be-gul-e-murād nahīñ 
ki us shajar pe shagūfe samar ke dekhte haiñ 
bas ik nigāh se luTtā hai qāfila dil kā 
so rah-ravān-e-tamannā bhī Dar ke dekhte haiñ 
sunā hai us ke shabistāñ se muttasil hai bahisht 
makīñ udhar ke bhī jalve idhar ke dekhte haiñ 
ruke to gardisheñ us kā tavāf kartī haiñ 
chale to us ko zamāne Thahar ke dekhte haiñ 
kise nasīb ki be-pairahan use dekhe 
kabhī kabhī dar o dīvār ghar ke dekhte haiñ 
kahāniyāñ hī sahī sab mubālġhe hī sahī 
agar vo ḳhvāb hai tābīr kar ke dekhte haiñ 
ab us ke shahr meñ Thahreñ ki kuuch kar jaa.eñ 
'farāz' aao sitāre safar ke dekhte haiñ"
709,"tere qarīb aa ke baḌī uljhanoñ meñ huuñ 
maiñ dushmanoñ meñ huuñ ki tire dostoñ meñ huuñ 
mujh se gurez-pā hai to har rāsta badal 
maiñ sañg-e-rāh huuñ to sabhī rāstoñ meñ huuñ 
tū aa chukā hai sat.h pe kab se ḳhabar nahīñ 
bedard maiñ abhī unhīñ gahrā.iyoñ meñ huuñ 
ai yār-e-ḳhush-dayār tujhe kyā ḳhabar ki maiñ 
kab se udāsiyoñ ke ghane jañgaloñ meñ huuñ 
tū luuT kar bhī ahl-e-tamannā ko ḳhush nahīñ 
yaañ luT ke bhī vafā ke inhī qāfiloñ meñ huuñ 
badlā na mere baad bhī mauzū-e-guftugū 
maiñ jā chukā huuñ phir bhī tirī mahfiloñ meñ huuñ 
mujh se bichhaḌ ke tū bhī to ro.egā umr bhar 
ye soch le ki maiñ bhī tirī ḳhvāhishoñ meñ huuñ 
tū hañs rahā hai mujh pe mirā haal dekh kar 
aur phir bhī maiñ sharīk tire qahqahoñ meñ huuñ 
ḳhud hī misāl-e-lāla-e-sahrā lahū lahū 
aur ḳhud 'farāz' apne tamāshā.iyoñ meñ huuñ"
710,"terī bāteñ hī sunāne aa.e 
dost bhī dil hī dukhāne aa.e 
phuul khilte haiñ to ham sochte haiñ 
tere aane ke zamāne aa.e 
aisī kuchh chup sī lagī hai jaise 
ham tujhe haal sunāne aa.e 
ishq tanhā hai sar-e-manzil-e-ġham 
kaun ye bojh uThāne aa.e 
ajnabī dost hameñ dekh ki ham 
kuchh tujhe yaad dilāne aa.e 
dil dhaḌaktā hai safar ke hañgām 
kaash phir koī bulāne aa.e 
ab to rone se bhī dil dukhtā hai 
shāyad ab hosh Thikāne aa.e 
kyā kahīñ phir koī bastī ujḌī 
log kyuuñ jashn manāne aa.e 
so raho maut ke pahlū meñ 'farāz' 
niiñd kis vaqt na jaane aa.e"
711,"tujh se mil kar to ye lagtā hai ki ai ajnabī dost 
tū mirī pahlī mohabbat thī mirī āḳhirī dost 
log har baat kā afsāna banā dete haiñ 
ye to duniyā hai mirī jaañ ka.ī dushman ka.ī dost 
tere qāmat se bhī lipTī hai amar-bel koī 
merī chāhat ko bhī duniyā kī nazar khā ga.ī dost 
yaad aa.ī hai to phir TuuT ke yaad aa.ī hai 
koī guzrī huī manzil koī bhūlī huī dost 
ab bhī aa.e ho to ehsān tumhārā lekin 
vo qayāmat jo guzarnī thī guzar bhī ga.ī dost 
tere lahje kī thakan meñ tirā dil shāmil hai 
aisā lagtā hai judā.ī kī ghaḌī aa ga.ī dost 
bārish-e-sañg kā mausam hai mire shahr meñ to 
tū ye shīshe sā badan le ke kahāñ aa ga.ī dost 
maiñ use ahd-shikan kaise samajh luuñ jis ne 
āḳhirī ḳhat meñ ye likkhā thā faqat aap kī dost"
712,"tujhe hai mashq-e-sitam kā malāl vaise hī 
hamārī jaan thī jaañ par vabāl vaise hī 
chalā thā zikr zamāne kī bevafā.ī kā 
so aa gayā hai tumhārā ḳhayāl vaise hī 
ham aa ga.e haiñ tah-e-dām to nasīb apnā 
vagarna us ne to pheñkā thā jaal vaise hī 
maiñ roknā hī nahīñ chāhtā thā vaar us kā 
girī nahīñ mire hāthoñ se Dhaal vaise hī 
zamāna ham se bhalā dushmanī to kyā rakhtā 
so kar gayā hai hameñ pā.emāl vaise hī 
mujhe bhī shauq na thā dāstāñ sunāne kā 
'farāz' us ne bhī pūchhā thā haal vaise hī"
713,"us ko judā hue bhī zamāna bahut huā 
ab kyā kaheñ ye qissa purānā bahut huā 
Dhaltī na thī kisī bhī jatan se shab-e-firāq 
ai marg-e-nā-gahāñ tirā aanā bahut huā 
ham ḳhuld se nikal to ga.e haiñ par ai ḳhudā 
itne se vāqiye kā fasāna bahut huā 
ab ham haiñ aur saare zamāne kī dushmanī 
us se zarā sā rabt baḌhānā bahut huā 
ab kyuuñ na zindagī pe mohabbat ko vaar deñ 
is āshiqī meñ jaan se jaanā bahut huā 
ab tak to dil kā dil se ta.āruf na ho sakā 
maanā ki us se milnā milānā bahut huā 
kyā kyā na ham ḳharāb hue haiñ magar ye dil 
ai yād-e-yār terā Thikāna bahut huā 
kahtā thā nāsehoñ se mire muñh na aa.iyo 
phir kyā thā ek hū kā bahāna bahut huā 
lo phir tire laboñ pe usī bevafā kā zikr 
ahmad-'farāz' tujh se kahā na bahut huā"
714,"us ne sukūt-e-shab meñ bhī apnā payām rakh diyā 
hijr kī raat baam par māh-e-tamām rakh diyā 
āmad-e-dost kī naved kū-e-vafā meñ aam thī 
maiñ ne bhī ik charāġh sā dil sar-e-shām rakh diyā 
shiddat-e-tishnagī meñ bhī ġhairat-e-mai-kashī rahī 
us ne jo pher lī nazar maiñ ne bhī jaam rakh diyā 
us ne nazar nazar meñ hī aise bhale suḳhan kahe 
maiñ ne to us ke paañv meñ saarā kalām rakh diyā 
dekho ye mere ḳhvāb the dekho ye mere zaḳhm haiñ 
maiñ ne to sab hisāb-e-jāñ bar-sar-e-ām rakh diyā 
ab ke bahār ne bhī kiiñ aisī sharārteñ ki bas 
kabk-e-darī kī chaal meñ terā ḳhirām rakh diyā 
jo bhī milā usī kā dil halqa-ba-gosh-e-yār thā 
us ne to saare shahr ko kar ke ġhulām rakh diyā 
aur 'farāz' chāhiyeñ kitnī mohabbateñ tujhe 
maaoñ ne tere naam par bachchoñ kā naam rakh diyā"
715,"vahshateñ baḌhtī ga.iiñ hijr ke āzār ke saath 
ab to ham baat bhī karte nahīñ ġham-ḳhvār ke saath 
ham ne ik umr basar kī hai ġham-e-yār ke saath 
'mīr' do din na jiye hijr ke āzār ke saath 
ab to ham ghar se nikalte haiñ to rakh dete haiñ 
taaq par izzat-e-sādāt bhī dastār ke saath 
is qadar ḳhauf hai ab shahr kī galiyoñ meñ ki log 
chaap sunte haiñ to lag jaate haiñ dīvār ke saath 
ek to ḳhvāb liye phirte ho galiyoñ galiyoñ 
us pe takrār bhī karte ho ḳharīdār ke saath 
shahr kā shahr hī nāseh ho to kyā kījiyegā 
varna ham rind to bhiḌ jaate haiñ do-chār ke saath 
ham ko us shahr meñ ta.amīr kā saudā hai jahāñ 
log me.amār ko chun dete haiñ dīvār ke saath 
jo sharaf ham ko milā kūcha-e-jānāñ se 'farāz' 
sū-e-maqtal bhī ga.e haiñ usī pindār ke saath"
716,"ye kyā ki sab se bayāñ dil kī hālateñ karnī 
'farāz' tujh ko na aa.iiñ mohabbateñ karnī 
ye qurb kyā hai ki tū sāmne hai aur hameñ 
shumār abhī se judā.ī kī sā.ateñ karnī 
koī ḳhudā ho ki patthar jise bhī ham chāheñ 
tamām umr usī kī ibādateñ karnī 
sab apne apne qarīne se muntazir us ke 
kisī ko shukr kisī ko shikāyateñ karnī 
ham apne dil se hī majbūr aur logoñ ko 
zarā sī baat pe barpā qayāmateñ karnī 
mileñ jab un se to mub.ham sī guftugū karnā 
phir apne aap se sau sau vazāhateñ karnī 
ye log kaise magar dushmanī nibāhte haiñ 
hameñ to raas na aa.iiñ mohabbateñ karnī 
kabhī 'farāz' na.e mausamoñ meñ ro denā 
kabhī talāsh purānī rifāqateñ karnī"
717,"yūñhī mar mar ke ji.eñ vaqt guzāre jaa.eñ 
zindagī ham tire hāthoñ se na maare jaa.eñ 
ab zamīñ par koī gautam na mohammad na masīh 
āsmānoñ se na.e log utāre jaa.eñ 
vo jo maujūd nahīñ us kī madad chāhte haiñ 
vo jo suntā hī nahīñ us ko pukāre jaa.eñ 
baap larzāñ hai ki pahuñchī nahīñ bārāt ab tak 
aur ham-joliyāñ dulhan ko sañvāre jaa.eñ 
ham ki nādān juārī haiñ sabhī jānte haiñ 
dil kī baazī ho to jī jaan se haare jaa.eñ 
taj diyā tum ne dar-e-yār bhī uktā ke 'farāz' 
ab kahāñ DhūñDhne ġham-ḳhvār tumhāre jaa.eñ"
718,"zindagī se yahī gila hai mujhe 
tū bahut der se milā hai mujhe 
tū mohabbat se koī chaal to chal 
haar jaane kā hausla hai mujhe 
dil dhaḌaktā nahīñ Tapaktā hai 
kal jo ḳhvāhish thī aabla hai mujhe 
ham-safar chāhiye hujūm nahīñ 
ik musāfir bhī qāfila hai mujhe 
kohkan ho ki qais ho ki 'farāz' 
sab meñ ik shaḳhs hī milā hai mujhe"
719,"aadmī vaqt par gayā hogā 
vaqt pahle guzar gayā hogā 
vo hamārī taraf na dekh ke bhī 
koī ehsān dhar gayā hogā 
ḳhud se māyūs ho ke baiThā huuñ 
aaj har shaḳhs mar gayā hogā 
shaam tere dayār meñ āḳhir 
koī to apne ghar gayā hogā 
marham-e-hijr thā ajab iksīr 
ab to har zaḳhm bhar gayā hogā"
720,"aaj lab-e-guhar-fishāñ aap ne vā nahīñ kiyā 
tazkira-e-ḳhajista-e-āb-o-havā nahīñ kiyā 
kaise kaheñ ki tujh ko bhī ham se hai vāsta koī 
tū ne to ham se aaj tak koī gila nahīñ kiyā 
jaane tirī nahīñ ke saath kitne hī jabr the ki the 
maiñ ne tire lihāz meñ terā kahā nahīñ kiyā 
mujh ko ye hosh hī na thā tū mire bāzuoñ meñ hai 
ya.anī tujhe abhī talak maiñ ne rihā nahīñ kiyā 
tū bhī kisī ke baab meñ ahd-shikan ho ġhāliban 
maiñ ne bhī ek shaḳhs kā qarz adā nahīñ kiyā 
haañ vo nigāh-e-nāz bhī ab nahīñ mājrā-talab 
ham ne bhī ab kī fasl meñ shor bapā nahīñ kiyā"
721,"āḳhirī baar aah kar lī hai 
maiñ ne ḳhud se nibāh kar lī hai 
apne sar ik balā to lenī thī 
maiñ ne vo zulf apne sar lī hai 
din bhalā kis tarah guzāroge 
vasl kī shab bhī ab guzar lī hai 
jāñ-nisāroñ pe vaar kyā karnā 
maiñ ne bas haath meñ sipar lī hai 
jo bhī māñgo udhār dūñgā maiñ 
us galī meñ dukān kar lī hai 
merā kashkol kab se ḳhālī thā 
maiñ ne is meñ sharāb bhar lī hai 
aur to kuchh nahīñ kiyā maiñ ne 
apnī hālat tabāh kar lī hai 
shaiḳh aayā thā mohtasib ko liye 
maiñ ne bhī un kī vo ḳhabar lī hai"
722,"aap apnā ġhubār the ham to 
yaad the yādgār the ham to 
pardagī ham se kyuuñ rakhā parda 
tere hī parda-dār the ham to 
vaqt kī dhuup meñ tumhāre liye 
shajar-e-sāya-dār the ham to 
uḌe jaate haiñ dhuul ke mānind 
āñdhiyoñ par savār the ham to 
ham ne kyuuñ ḳhud pe e.atibār kiyā 
saḳht be-e'tibār the ham to 
sharm hai apnī baar baarī kī 
be-sabab baar baar the ham to 
kyuuñ hameñ kar diyā gayā majbūr 
ḳhud hī be-iḳhtiyār the ham to 
tum ne kaise bhulā diyā ham ko 
tum se hī musta.ār the ham to 
ḳhush na aayā hameñ jiye jaanā 
lamhe lamhe pe baar the ham to 
sah bhī lete hamāre ta.anoñ ko 
jān-e-man jāñ-nisār the ham to 
ḳhud ko daurān-e-hāl meñ apne 
be-tarah nāgavār the ham to 
tum ne ham ko bhī kar diyā barbād 
nādir-e-rozgār the ham to 
ham ko yāroñ ne yaad bhī na rakhā 
'jaun' yāroñ ke yaar the ham to"
723,"ab kisī se mirā hisāb nahīñ 
merī āñkhoñ meñ koī ḳhvāb nahīñ 
ḳhuun ke ghūñT pī rahā huuñ maiñ 
ye mirā ḳhuun hai sharāb nahīñ 
maiñ sharābī huuñ merī aas na chhīn 
tū mirī aas hai sarāb nahīñ 
noch pheñke laboñ se maiñ ne savāl 
tāqat-e-shoḳhī-e-javāb nahīñ 
ab to punjab bhī nahīñ punjab 
aur ḳhud jaisā ab do-āb nahīñ 
ġham abad kā nahīñ hai aan kā hai 
aur is kā koī hisāb nahīñ 
būdash ik rū hai ek rū ya.anī 
is kī fitrat meñ inqalāb nahīñ"
724,"ab vo ghar ik vīrāna thā bas vīrāna zinda thā 
sab āñkheñ dam toḌ chukī thiiñ aur maiñ tanhā zinda thā 
saarī galī sunsān paḌī thī bād-e-fanā ke pahre meñ 
hijr ke dālān aur āñgan meñ bas ik saaya zinda thā 
vo jo kabūtar us mūkhe meñ rahte the kis des uḌe 
ek kā naam navāzinda thā aur ik kā bāzinda thā 
vo dopahr apnī ruḳhsat kī aisā-vaisā dhokā thī 
apne andar apnī laash uThā.e maiñ jhūTā zinda thā 
thiiñ vo ghar rāteñ bhī kahānī va.ade aur phir din ginnā 
aanā thā jaane vaale ko jaane vaalā zinda thā 
dastak dene vaale bhī the dastak sunñe vaale bhī 
thā ābād mohalla saarā har darvāza zinda thā 
piile pattoñ ko sah-pahr kī vahshat pursā detī thī 
āñgan meñ ik auñdhe ghaḌe par bas ik kavvā zinda thā"
725,"abhī farmān aayā hai vahāñ se 
ki haT jā.ūñ maiñ apne darmiyāñ se 
yahāñ jo hai tanaffus hī meñ gum hai 
parinde uḌ rahe haiñ shāḳh-e-jāñ se 
darīcha baaz hai yādoñ kā aur maiñ 
havā suntā huuñ peḌoñ kī zabāñ se 
zamāna thā vo dil kī zindagī kā 
tirī furqat ke din lā.ūñ kahāñ se 
thā ab tak ma.arka bāhar kā darpesh 
abhī to ghar bhī jaanā hai yahāñ se 
fulāñ se thī ġhazal behtar fulāñ kī 
fulāñ ke zaḳhm achchhe the fulāñ se 
ḳhabar kyā duuñ maiñ shahr-e-raftagāñ kī 
koī lauTe bhī shahr-e-raftagāñ se 
yahī anjām kyā tujh ko havas thā 
koī pūchhe to mīr-e-dāstāñ se"
